brand,productYear,new_bool,imported_bool,price,date
mercedes-benz,2019,True,False,1640000000,23/08/2019
mercedes-benz,2017,False,False,1680000000,28/02/2019
mercedes-benz,2018,True,False,1820000000,03/04/2019
mercedes-benz,2020,False,False,2060000000,01/02/2020
toyota,2019,True,True,7750000000,06/11/2019
mercedes-benz,2018,False,False,1490000000,01/02/2020
mercedes-benz,2019,True,False,1640000000,21/08/2019
mercedes-benz,2020,True,True,1616000000,11/01/2020
toyota,2019,True,True,9350000000,30/09/2019
mercedes-benz,2019,True,False,2239000000,14/01/2020
mercedes-benz,2020,False,True,4350000000,01/03/2020
mercedes-benz,2020,True,False,1385000000,01/03/2020
mercedes-benz,2019,False,False,3590000000,11/09/2019
land rover,2016,False,True,7500000000,01/02/2020
land rover,2016,False,True,7280000000,01/02/2020
mercedes-benz,2020,False,False,2900000000,01/02/2020
mercedes-benz,2017,False,False,1370000000,14/01/2020
lexus,2019,True,True,9060000000,31/08/2019
mercedes-benz,2020,True,False,4969000000,14/01/2020
mercedes-benz,2018,True,False,2300000000,09/05/2019
mercedes-benz,2019,False,False,1430000000,10/10/2019
lincoln,2020,True,True,8500000000,24/05/2019
mercedes-benz,2020,True,False,2290000000,01/02/2020
mercedes-benz,2020,True,False,2317000000,14/01/2020
toyota,2017,True,True,5990000000,24/08/2018
toyota,2011,False,True,1780000000,01/03/2020
mercedes-benz,2016,False,True,1400000000,27/02/2019
mercedes-benz,2020,False,False,2060000000,19/11/2019
mercedes-benz,2015,False,False,1790000000,27/02/2019
lincoln,2019,True,True,8590000000,17/06/2019
mercedes-benz,2018,False,False,3590000000,22/09/2019
lexus,2019,True,True,10400000000,18/09/2019
mercedes-benz,2020,True,False,2317000000,20/01/2020
mercedes-benz,2020,True,False,2030000000,01/03/2020
lexus,2014,False,True,3160000000,01/03/2020
toyota,2012,False,False,575000000,01/03/2020
bmw,2019,True,True,6950000000,08/10/2019
mercedes-benz,2019,True,False,1640000000,22/08/2019
land rover,2019,True,True,8290000000,30/07/2018
mercedes-benz,2020,True,False,1888000000,18/01/2020
mercedes-benz,2020,True,True,2559000000,10/01/2020
