brand,productYear,new_bool,imported_bool,price,date
ford,2020,True,True,590000000,20/03/2020
lexus,2016,False,True,2660000000,25/03/2020
lexus,2016,False,True,3350000000,25/03/2020
mercedes-benz,2018,False,False,1490000000,20/03/2020
mitsubishi,2020,True,False,938000000,25/03/2020
mercedes-benz,2017,False,False,1650000000,20/03/2020
vinfast,2020,True,False,414000000,25/03/2020
suzuki,2020,True,True,555000000,20/03/2020
mazda,2019,True,False,859000000,25/03/2020
mazda,2019,True,False,1099000000,20/03/2020
mazda,2019,True,False,699000000,20/03/2020
mitsubishi,2020,True,True,375000000,25/03/2020
ford,2020,True,False,490000000,20/03/2020
mitsubishi,2019,True,True,550000000,20/03/2020
hyundai,2020,True,True,540000000,25/03/2020
mitsubishi,2020,True,False,950000000,20/03/2020
mazda,2020,True,False,859000000,20/03/2020
ford,2020,True,False,585000000,24/03/2020
mercedes-benz,2018,False,False,1399000000,24/03/2020
hyundai,2020,True,False,370000000,24/03/2020
suzuki,2020,True,True,555000000,24/03/2020
mercedes-benz,2019,False,True,4129000000,24/03/2020
mercedes-benz,2018,False,False,1290000000,24/03/2020
mercedes-benz,2018,False,False,1419000000,24/03/2020
lexus,2017,False,True,2800000000,24/03/2020
toyota,2019,True,False,923000000,24/03/2020
toyota,2016,False,True,1590000000,24/03/2020
kia,2020,True,True,625000000,24/03/2020
mercedes-benz,2020,True,False,1399000000,24/03/2020
kia,2020,True,False,549000000,24/03/2020
hyundai,2020,True,True,422000000,24/03/2020
audi,2008,False,True,650000000,24/03/2020
ford,2020,True,True,640000000,24/03/2020
mercedes-benz,2020,True,False,1749000000,24/03/2020
hyundai,2020,True,True,1120000000,24/03/2020
hyundai,2019,True,False,840000000,24/03/2020
kia,2020,True,False,1099000000,24/03/2020
subaru,2019,True,True,1127000000,24/03/2020
toyota,2020,True,False,706000000,24/03/2020
mazda,2020,True,True,489000000,24/03/2020
hyundai,2020,True,False,418000000,24/03/2020
mercedes-benz,2020,True,False,2399000000,24/03/2020
mazda,2020,True,True,489000000,24/03/2020
hyundai,2019,True,False,1165000000,23/03/2020
hyundai,2020,True,False,669000000,23/03/2020
mercedes-benz,2018,False,False,1589000000,23/03/2020
mercedes-benz,2018,False,False,1699000000,23/03/2020
vinfast,2020,True,False,370000000,23/03/2020
mitsubishi,2020,True,False,825000000,23/03/2020
toyota,2020,True,False,470000000,23/03/2020
ford,2015,False,False,470000000,23/03/2020
mitsubishi,2020,True,True,460000000,23/03/2020
mercedes-benz,2018,False,False,1490000000,23/03/2020
ford,2020,True,True,575000000,23/03/2020
hyundai,2020,True,False,589000000,23/03/2020
hyundai,2020,True,False,490000000,23/03/2020
hyundai,2019,True,False,842000000,23/03/2020
ford,2019,True,True,1000000000,23/03/2020
porsche,2014,False,True,2499000000,23/03/2020
hyundai,2020,True,False,1235000000,22/03/2020
toyota,2020,True,False,470000000,22/03/2020
mazda,2020,True,False,949000000,22/03/2020
ford,2020,True,True,999000000,22/03/2020
mercedes-benz,2019,False,False,1419000000,22/03/2020
mercedes-benz,2020,True,False,1385000000,22/03/2020
landrover,2016,False,False,7600000000,22/03/2020
ford,2020,True,True,590000000,22/03/2020
ford,2020,True,True,616000000,22/03/2020
suzuki,2020,True,True,555000000,22/03/2020
toyota,2020,True,False,570000000,22/03/2020
vinfast,2020,True,False,414000000,22/03/2020
mazda,2020,True,True,489000000,22/03/2020
ford,2020,True,True,640000000,22/03/2020
hyundai,2020,True,False,340000000,22/03/2020
mercedes-benz,2017,False,False,3590000000,22/03/2020
mercedes-benz,2018,False,False,1419000000,22/03/2020
toyota,2014,False,False,348000000,22/03/2020
ford,2020,True,True,571000000,21/03/2020
ford,2020,True,True,999000000,21/03/2020
hyundai,2020,True,False,878000000,21/03/2020
toyota,2020,True,False,771000000,21/03/2020
hyundai,2020,True,False,495000000,21/03/2020
maserati,2017,False,True,5000000000,21/03/2020
kia,2020,True,True,559000000,21/03/2020
mercedes-benz,2020,True,True,2148000000,21/03/2020
peugeot,2020,True,False,1199000000,21/03/2020
toyota,2020,True,True,1029000000,21/03/2020
hyundai,2019,True,False,530000000,21/03/2020
ford,2020,True,True,790000000,21/03/2020
ford,2020,True,True,909000000,21/03/2020
ford,2020,True,False,480000000,21/03/2020
bmw,2013,False,True,979000000,21/03/2020
kia,2020,True,False,1099000000,21/03/2020
kia,2020,True,False,299000000,21/03/2020
toyota,2011,False,True,1299000000,21/03/2020
lexus,2008,False,True,2100000000,21/03/2020
mitsubishi,2020,True,False,950000000,21/03/2020
honda,2020,True,True,903000000,21/03/2020
mazda,2020,True,False,899000000,21/03/2020
mercedes-benz,2020,True,False,1669000000,21/03/2020
mercedes-benz,2018,False,False,1839000000,21/03/2020
mercedes-benz,2001,False,False,175000000,21/03/2020
suzuki,2016,False,True,450000000,21/03/2020
suzuki,2020,True,False,293000000,21/03/2020
hyundai,2018,False,False,1080000000,21/03/2020
chevrolet,2017,False,True,595000000,21/03/2020
lexus,2020,True,True,4120000000,21/03/2020
chevrolet,2019,True,True,870000000,21/03/2020
toyota,2018,False,False,755000000,21/03/2020
mazda,2020,True,True,489000000,21/03/2020
honda,2020,True,True,1093000000,21/03/2020
kia,2020,True,False,635000000,21/03/2020
mitsubishi,2020,True,False,825000000,20/03/2020
kia,2019,True,False,1129000000,20/03/2020
kia,2019,True,False,589000000,20/03/2020
kia,2019,True,False,329000000,20/03/2020
mazda,2020,True,False,699000000,20/03/2020
ford,2020,True,True,799000000,20/03/2020
mercedes-benz,2019,True,False,1740000000,20/03/2020
