brand,productYear,new_bool,date,price
toyota,2019.0,True,26/03/20,1150000000
hyundai,,False,26/03/20,375000000
ford,2018.0,False,19/03/20,573000000
honda,2016.0,False,19/03/20,859000000
honda,2018.0,False,19/03/20,549000000
kia,2014.0,False,19/03/20,643000000
hyundai,2016.0,False,19/03/20,859000000
mazda,2018.0,False,19/03/20,908000000
mazda,2017.0,False,19/03/20,628000000
ford,2018.0,False,20/03/20,598000000
ford,2016.0,False,21/03/20,588000000
kia,2016.0,False,22/03/20,539000000
mercedes benz,2018.0,False,25/03/20,1768000000
ford,2016.0,False,26/03/20,680000000
mercedes benz,2020.0,False,26/03/20,1839000000
kia,2012.0,False,26/03/20,380000000
kia,2015.0,False,07/03/20,450000000
hyundai,2016.0,False,05/03/20,560000000
mazda,2014.0,False,05/03/20,630000000
mazda,2014.0,False,04/03/20,640000000
kia,2014.0,False,04/03/20,580000000
mitsubishi,2012.0,False,03/03/20,480000000
mazda,2015.0,False,03/03/20,455000000
kia,2014.0,False,29/02/20,435000000
kia,2013.0,False,28/02/20,415000000
mazda,2016.0,False,28/02/20,745000000
hyundai,2017.0,False,26/03/20,858000000
land rover,2019.0,False,26/03/20,8600000000
land rover,2019.0,False,26/03/20,8600000000
peugeot,2019.0,True,26/03/20,1139000000
peugeot,2020.0,True,26/03/20,1349000000
kia,2019.0,False,26/03/20,690000000
mercedes benz,2015.0,False,26/03/20,950000000
ford,2019.0,True,26/03/20,650000000
kia,2018.0,False,05/03/20,280000000
toyota,2015.0,False,09/03/20,468000000
kia,2014.0,False,11/03/20,248000000
hyundai,2010.0,False,16/03/20,360000000
chevrolet,2017.0,False,21/03/20,165000000
mazda,2017.0,False,25/03/20,479000000
ford,2019.0,False,25/03/20,845000000
mazda,2019.0,False,24/03/20,659000000
mazda,2017.0,False,24/03/20,590000000
mercedes benz,2016.0,False,16/03/20,1485000000
hyundai,2018.0,False,16/03/20,468000000
hyundai,2018.0,False,16/03/20,790000000
mazda,2018.0,False,12/03/20,895000000
kia,2016.0,False,10/03/20,690000000
mazda,2016.0,False,10/03/20,460000000
hyundai,2015.0,False,06/03/20,840000000
mazda,2018.0,False,05/03/20,650000000
kia,2016.0,False,26/03/20,315000000
ford,2016.0,False,23/03/20,590000000
ford,2016.0,False,23/03/20,645000000
honda,2020.0,True,12/03/20,1093000000
jaguar,2014.0,False,25/03/20,2250000000
isuzu,2016.0,False,25/03/20,710000000
mercedes benz,2017.0,False,25/03/20,1640000000
toyota,2007.0,False,25/03/20,530000000
toyota,2011.0,False,25/03/20,505000000
mazda,2016.0,False,25/03/20,550000000
kia,2017.0,False,19/03/20,589000000
kia,2019.0,False,19/03/20,658000000
honda,2012.0,False,19/03/20,489000000
hyundai,2016.0,False,19/03/20,969000000
honda,2018.0,False,19/03/20,553000000
honda,2015.0,False,19/03/20,728000000
hyundai,2018.0,False,19/03/20,398000000
mazda,2016.0,False,19/03/20,549000000
ford,2018.0,False,19/03/20,598000000
toyota,2019.0,False,19/03/20,568000000
honda,2018.0,False,19/03/20,553000000
hyundai,2018.0,False,19/03/20,356000000
mitsubishi,2016.0,False,19/03/20,589000000
mercedes benz,2018.0,False,20/03/20,1388000000
mazda,2018.0,False,20/03/20,638000000
bmw,2011.0,False,25/03/20,785000000
nissan,2020.0,True,19/03/20,810000000
nissan,2019.0,True,20/03/20,815000000
mercedes benz,2007.0,False,26/02/20,398000000
mercedes benz,2011.0,False,26/02/20,555000000
mazda,2018.0,False,27/02/20,645000000
lexus,2009.0,False,13/03/20,1150000000
kia,2013.0,False,23/03/20,230000000
mercedes benz,2017.0,False,23/03/20,1690000000
toyota,2008.0,False,25/03/20,330000000
bmw,2017.0,False,25/03/20,30000000
honda,2017.0,False,20/03/20,485000000
kia,2010.0,False,20/03/20,290000000
kia,2010.0,False,20/03/20,475000000
ford,2016.0,False,19/03/20,475000000
mitsubishi,2016.0,False,18/03/20,650000000
honda,2017.0,False,18/03/20,530000000
kia,2013.0,False,25/03/20,470000000
mercedes benz,2016.0,False,25/03/20,1350000000
honda,2008.0,False,25/03/20,285000000
kia,2018.0,False,25/03/20,365000000
hyundai,2017.0,False,25/03/20,925000000
ford,2015.0,False,25/03/20,450000000
toyota,2015.0,False,13/03/20,460000000
toyota,2013.0,False,25/03/20,755000000
toyota,2013.0,False,25/03/20,755000000
kia,2017.0,False,25/03/20,550000000
suzuki,2020.0,True,06/03/20,299500000
lexus,2016.0,False,25/03/20,6650000000
mazda,2014.0,False,20/03/20,460000000
audi,2017.0,False,23/03/20,2100000
ford,2015.0,False,25/03/20,485000000
chevrolet,2017.0,False,13/03/20,650000000
porsche,2013.0,False,09/03/20,2400000000
toyota,2018.0,True,09/03/20,3600000000
mazda,2019.0,False,17/03/20,928000000
audi,2017.0,False,23/03/20,1890000000
land rover,2019.0,True,19/03/20,9600000000
suzuki,2020.0,True,06/03/20,293000000
toyota,2013.0,False,25/03/20,755000000
audi,2016.0,False,09/03/20,1650000000
kia,2018.0,False,25/03/20,375000000
honda,2016.0,False,15/03/20,470000000
mazda,2016.0,False,15/03/20,630000000
toyota,2013.0,False,13/03/20,665000000
mazda,2015.0,False,13/03/20,390000000
kia,2016.0,False,03/03/20,385000000
hyundai,2009.0,False,25/03/20,798000000
suzuki,2020.0,True,06/03/20,549000000
ford,2014.0,False,25/03/20,600000000
kia,2017.0,False,25/03/20,899000000
toyota,2010.0,False,26/02/20,360000000
ford,2010.0,False,02/03/20,360000000
mitsubishi,2018.0,False,02/03/20,545000000
nissan,2013.0,False,06/03/20,435000000
nissan,2011.0,False,07/03/20,320000000
hyundai,2015.0,False,08/03/20,580000000
ford,2010.0,False,10/03/20,305000000
mercedes benz,2007.0,False,10/03/20,250000000
suzuki,2016.0,False,11/03/20,240000000
ford,2010.0,False,11/03/20,320000000
mercedes benz,2009.0,False,11/03/20,270000000
ford,2017.0,False,12/03/20,585000000
hyundai,2009.0,False,12/03/20,440000000
ford,2008.0,False,13/03/20,290000000
toyota,2008.0,False,13/03/20,300000000
toyota,2007.0,False,14/03/20,280000000
ford,2014.0,False,15/03/20,400000000
hyundai,2013.0,False,18/03/20,625000000
hyundai,2007.0,False,19/03/20,390000000
toyota,2012.0,False,22/03/20,385000000
mazda,2015.0,False,22/03/20,485000000
ford,2014.0,False,23/03/20,390000000
toyota,2016.0,False,24/03/20,510000000
kia,2017.0,False,23/03/20,568000000
toyota,2015.0,False,23/03/20,648000000
mazda,2016.0,False,25/03/20,668000000
audi,2013.0,False,25/03/20,950000000
toyota,2010.0,False,25/03/20,985000000
nissan,2020.0,True,25/03/20,479000000
nissan,2020.0,True,21/03/20,620000000
lexus,2014.0,False,25/03/20,4350000000
hyundai,2018.0,False,23/03/20,888000000
mazda,2018.0,False,18/03/20,645000000
bmw,2012.0,False,25/03/20,770000000
mitsubishi,2020.0,True,25/03/20,375000000
toyota,2020.0,True,16/03/20,2330000000
toyota,2020.0,True,20/03/20,4000000000
mercedes benz,2015.0,False,25/03/20,950000000
toyota,2014.0,False,25/03/20,298000000
toyota,2014.0,False,25/03/20,298000000
mazda,2016.0,False,24/03/20,355000000
mazda,2018.0,False,24/03/20,625000000
kia,2014.0,False,24/03/20,242000000
toyota,2020.0,True,24/03/20,470000000
toyota,2020.0,True,24/03/20,470000000
mercedes benz,2013.0,False,19/03/20,1058000000
mercedes benz,2014.0,False,19/03/20,1158000000
mazda,2015.0,False,19/03/20,543000000
hyundai,2016.0,False,19/03/20,966000000
kia,2012.0,False,24/03/20,225000000
hyundai,2020.0,True,10/11/19,950000000
hyundai,2020.0,True,21/11/19,313000000
hyundai,2020.0,True,21/11/19,418000000
hyundai,2020.0,True,21/11/19,587000000
